50 Mathematical Ideas You Really Need to Know,Tony Crilly,208,,,MATHEMATICS,MAT000000
99 Critical Shots in Pool,Ray Martin and Rosser Reeves,256,,,POOL (GAME),SPO060000
Accidental Sorcerer,K. E. Mills,560,,,FICTION_FANTASY_GENERAL,FIC009000
Across the Nightingale Floor,Lian Hearn,346,16.95,AUD,"SCIENCE FICTION, FANTASY, HORROR , FICTION_FANTASY_HISTORICAL , JAPAN_FICTION , FICTION_ACTION & ADVENTURE","FIC009030 , FIC028000 , FIC002000"
Agatha H. and the Airship City,Phil Foglio and Kaja Foglio,264,,,"FICTION_SCIENCE FICTION_GENERAL , WOMEN SCIENTISTS_FICTION",FIC028000
Alien Blues,Lynn S. Hightower,256,5.99,CND,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Alien Diplomacy,Gini Koch,448,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Alien Proliferation,Gini Koch,448,,,FICTION_FANTASY_GENERAL,FIC009000
Alien Rites,Lynn S. Hightower,240,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Alien Tango,Gini Koch,448,,,"FICTION_FANTASY_URBAN LIFE , FICTION_SCIENCE FICTION_SPACE OPERA","FIC009060 , FIC028030"
Aloha from Hell,Richard Kadrey,448,,,"FICTION_THRILLERS , FICTION_CRIME","FIC031000 , FIC050000"
Altered Carbon,Richard K. Morgan,416,,,FICTION_SCIENCE FICTION_HIGH TECH,FIC028020
Americana,"Bill Willingham, Matthew Sturges, Tony Akins and Russell Braun",128,,,"COMICS & GRAPHIC NOVELS_FANTASY , YOUNG WOMEN_FICTION",CGN004030
American Book of the Dead,Stephen Billias,224,,,FICTION_GENERAL,FIC000000
American Indian Trickster Tales,"Richard Erdoes, Richard Erdoes, Alfonso Ortiz, Richard Erdoes and Richard Erdoes",320,,,"INDIANS OF NORTH AMERICA_SOCIAL LIFE AND CUSTOMS , INDIANS OF NORTH AMERICA_FOLKLORE","SOC011000 , SOC021000"
And Eternity,Piers Anthony,356,21.95,CND,"FICTION_SCIENCE FICTION_GENERAL , FICTION_FANTASY_GENERAL","FIC028000 , FIC009000"
Andromeda Strain,Michael Crichton,304,,,"FICTION_SCIENCE FICTION_GENERAL , FICTION_MEDICAL","FIC028000 , FIC035000"
Angel Town,Lilith Saintcrow,352,,,FICTION_FANTASY_URBAN LIFE,FIC009060
Angry Candy,Harlan Ellison,224,,,"FICTION_SCIENCE FICTION_GENERAL , FICTION_SHORT STORIES (single author)","FIC028000 , FIC029000"
Animal Farm,"Bill Willingham, Mark Buckingham and Steve Leialoha",128,,,COMICS & GRAPHIC NOVELS_FANTASY,CGN004030
Animal Immortality,Bill D. Shul,,9.95,USD,FUTURE LIFE,OCC022000
Animals of the Soul : Sacred Animals of the Oglala Sioux,Joseph E. Brown,159,19.99,CND,"INDIANS OF NORTH AMERICA_RITES AND CEREMONIES , ANIMAL WORSHIP","SOC021000 , REL000000"
Animist,Eve Forward,320,,,FICTION_FANTASY_GENERAL,FIC009000
Anvil of the World,Kage Baker,352,,,FICTION_FANTASY_GENERAL,FIC009000
Apocalypso - Xombies,Walter Greatshell,304,,,FICTION_HORROR,FIC015000
Art in the Blood,P. N. Elrod,208,5.99,CND,"FICTION_MYSTERY & DETECTIVE_GENERAL , VAMPIRES_FICTION , FICTION_HORROR , FLEMING, JACK (FICTITIOUS CHARACTER)_FICTION , PRIVATE INVESTIGATORS_FICTION , CHICAGO (ILL.)_FICTION , ILLINOIS_FICTION","FIC022000 , FIC015000 , FIC022090 , FIC024000"
Ashes of Honor,Seanan McGuire,368,,,FICTION_FANTASY_GENERAL,FIC009000
As Lie the Dead,Kelly Meding,432,,,"FICTION_OCCULT & SUPERNATURAL , CRIME_FICTION , VAMPIRES_FICTION","FIC024000 , FIC050000"
